State,Hires rate,Hires level,Job openings rate,Job openings level,Quits rate,Quits level
Alabama,4.2,91000,6.2,141000,3,64000
Alaska,5.9,19000,7.7,27000,3.1,10000
Arizona,4.4,138000,5.9,197000,2.8,87000
Arkansas,4.4,59000,6.2,89000,3.5,47000
California,3.4,606000,4.8,911000,2,363000
Colorado,3.9,112000,6.3,194000,2.5,73000
Connecticut,3.6,60000,5.8,104000,2,33000
Delaware,5,24000,6.9,36000,3.1,15000
District of Columbia,3.6,28000,5.7,47000,1.9,15000
Florida,3.8,371000,6.5,671000,2.9,281000
Georgia,4.9,237000,7.5,395000,3.2,154000
Hawaii,3.8,24000,4.8,32000,2.2,14000
Idaho,4.6,39000,6.2,56000,2.6,22000
Illinois,3.9,237000,5.6,360000,2.2,132000
Indiana,4.2,136000,5,171000,2.7,89000
Iowa,3.6,58000,5.1,86000,2.4,39000
Kansas,3.3,48000,4.6,70000,2.6,37000
Kentucky,4.6,93000,6.7,144000,3.3,67000
Louisiana,5.1,99000,7.3,153000,3.7,73000
Maine,5,32000,6.5,45000,2.6,17000
Maryland,4.3,117000,5.7,165000,3.6,98000
Massachusetts,3.6,137000,6.8,273000,1.6,60000
Michigan,3.7,163000,5.3,247000,2.2,98000
Minnesota,3.7,111000,5.7,179000,2.3,69000
Mississippi,4,47000,6.3,79000,3.1,36000
Missouri,3.6,108000,5.2,164000,2.4,72000
Montana,5.4,28000,6.5,36000,3.3,17000
Nebraska,3.4,36000,5.1,56000,2.3,24000
Nevada,4.6,71000,5.4,88000,2.7,41000
New Hampshire,4.6,32000,6.5,49000,2.9,20000
New Jersey,5,215000,5.4,246000,1.9,84000
New Mexico,4.2,36000,6.4,59000,2.7,23000
New York,3.2,313000,4.2,430000,1.7,165000
North Carolina,3.9,189000,7.1,372000,2.4,119000
North Dakota,4.4,19000,6.3,29000,2.3,10000
Ohio,3.8,211000,5.7,339000,2.5,138000
Oklahoma,4.4,76000,6.5,121000,3,52000
Oregon,4.2,83000,5.7,120000,2.5,50000
Pennsylvania,3.2,193000,6.1,398000,2.1,126000
Rhode Island,4.8,24000,6,32000,2.6,13000
South Carolina,4.5,102000,7.6,189000,3.3,75000
South Dakota,4.3,20000,5.5,27000,2.4,11000
Tennessee,4.5,149000,6.9,245000,3,100000
Texas,4.4,605000,5.7,829000,2.7,369000
Utah,4.3,74000,5.6,102000,2.4,41000
Vermont,4.2,13000,6.1,20000,2.3,7000
Virginia,4.5,188000,7.7,347000,3,125000
Washington,3.3,121000,4.7,178000,2.2,79000
West Virginia,5.4,38000,7.2,54000,3.4,24000
Wisconsin,3.4,101000,5.4,171000,2.2,65000
Wyoming,5.9,17000,6.5,20000,3.1,9000
